date,open,close,high,low,volume,code,market,name
2020-12-28,0.987,0.996,0.999,0.981,4245773.0,515290,sh,银行ETF天弘
2020-12-29,0.999,0.998,1.003,0.994,4338944.0,515290,sh,银行ETF天弘
2020-12-30,0.995,0.999,1.0,0.99,5752197.0,515290,sh,银行ETF天弘
2020-12-31,0.999,1.01,1.018,0.998,3280210.0,515290,sh,银行ETF天弘
2021-01-04,1.01,0.993,1.01,0.982,2188535.0,515290,sh,银行ETF天弘
2021-01-05,0.988,0.979,0.988,0.968,1667698.0,515290,sh,银行ETF天弘
2021-01-06,0.978,1.0,1.001,0.975,1354142.0,515290,sh,银行ETF天弘
2021-01-07,1.0,1.009,1.013,0.998,1435148.0,515290,sh,银行ETF天弘
2021-01-08,1.009,1.013,1.02,1.005,1270643.0,515290,sh,银行ETF天弘
2021-01-11,1.01,1.024,1.035,1.01,2483622.0,515290,sh,银行ETF天弘
2021-01-12,1.024,1.038,1.04,1.02,2697196.0,515290,sh,银行ETF天弘
2021-01-13,1.04,1.038,1.042,1.03,3065524.0,515290,sh,银行ETF天弘
2021-01-14,1.038,1.038,1.054,1.034,1195515.0,515290,sh,银行ETF天弘
2021-01-15,1.057,1.065,1.094,1.057,2250608.0,515290,sh,银行ETF天弘
2021-01-18,1.067,1.09,1.096,1.066,3567921.0,515290,sh,银行ETF天弘
2021-01-19,1.09,1.09,1.104,1.077,3109539.0,515290,sh,银行ETF天弘
2021-01-20,1.087,1.08,1.102,1.075,1568275.0,515290,sh,银行ETF天弘
2021-01-21,1.079,1.084,1.093,1.079,978670.0,515290,sh,银行ETF天弘
2021-01-22,1.08,1.064,1.082,1.057,1363666.0,515290,sh,银行ETF天弘
2021-01-25,1.064,1.067,1.072,1.045,1076526.0,515290,sh,银行ETF天弘
2021-01-26,1.065,1.063,1.081,1.061,796848.0,515290,sh,银行ETF天弘
2021-01-27,1.062,1.078,1.091,1.061,2167353.0,515290,sh,银行ETF天弘
2021-01-28,1.084,1.064,1.084,1.061,3446704.0,515290,sh,银行ETF天弘
2021-01-29,1.067,1.072,1.083,1.063,925526.0,515290,sh,银行ETF天弘
2021-02-01,1.07,1.095,1.1,1.059,1003016.0,515290,sh,银行ETF天弘
2021-02-02,1.094,1.084,1.1,1.078,1066937.0,515290,sh,银行ETF天弘
2021-02-03,1.084,1.102,1.11,1.075,980905.0,515290,sh,银行ETF天弘
2021-02-04,1.098,1.105,1.122,1.092,1034501.0,515290,sh,银行ETF天弘
2021-02-05,1.106,1.139,1.143,1.106,1069963.0,515290,sh,银行ETF天弘
2021-02-08,1.143,1.143,1.147,1.118,1033663.0,515290,sh,银行ETF天弘
2021-02-09,1.14,1.144,1.144,1.126,794155.0,515290,sh,银行ETF天弘
2021-02-10,1.144,1.136,1.162,1.123,790341.0,515290,sh,银行ETF天弘
2021-02-18,1.142,1.157,1.168,1.142,785582.0,515290,sh,银行ETF天弘
2021-02-19,1.15,1.151,1.165,1.145,781478.0,515290,sh,银行ETF天弘
2021-02-22,1.152,1.132,1.152,1.127,1027121.0,515290,sh,银行ETF天弘
2021-02-23,1.132,1.14,1.16,1.129,1189588.0,515290,sh,银行ETF天弘
2021-02-24,1.14,1.122,1.147,1.113,758292.0,515290,sh,银行ETF天弘
2021-02-25,1.124,1.137,1.147,1.123,895184.0,515290,sh,银行ETF天弘
2021-02-26,1.137,1.101,1.137,1.096,825389.0,515290,sh,银行ETF天弘
2021-03-01,1.102,1.101,1.106,1.093,643619.0,515290,sh,银行ETF天弘
2021-03-02,1.105,1.092,1.108,1.081,725720.0,515290,sh,银行ETF天弘
2021-03-03,1.09,1.14,1.141,1.09,754028.0,515290,sh,银行ETF天弘
2021-03-04,1.136,1.132,1.148,1.125,774457.0,515290,sh,银行ETF天弘
2021-03-05,1.132,1.123,1.132,1.102,669089.0,515290,sh,银行ETF天弘
2021-03-08,1.124,1.105,1.14,1.103,827558.0,515290,sh,银行ETF天弘
2021-03-09,1.106,1.084,1.117,1.08,720662.0,515290,sh,银行ETF天弘
2021-03-10,1.085,1.078,1.089,1.074,750380.0,515290,sh,银行ETF天弘
2021-03-11,1.082,1.111,1.119,1.082,858263.0,515290,sh,银行ETF天弘
2021-03-12,1.112,1.122,1.127,1.112,1040054.0,515290,sh,银行ETF天弘
2021-03-15,1.123,1.134,1.15,1.121,763620.0,515290,sh,银行ETF天弘
2021-03-16,1.135,1.146,1.156,1.134,643660.0,515290,sh,银行ETF天弘
2021-03-17,1.14,1.129,1.14,1.121,853070.0,515290,sh,银行ETF天弘
2021-03-18,1.13,1.132,1.135,1.122,761309.0,515290,sh,银行ETF天弘
2021-03-19,1.129,1.099,1.134,1.094,703919.0,515290,sh,银行ETF天弘
2021-03-22,1.1,1.12,1.128,1.1,1010590.0,515290,sh,银行ETF天弘
2021-03-23,1.121,1.116,1.135,1.107,768900.0,515290,sh,银行ETF天弘
2021-03-24,1.115,1.098,1.117,1.095,888753.0,515290,sh,银行ETF天弘
2021-03-25,1.095,1.089,1.106,1.088,946173.0,515290,sh,银行ETF天弘
2021-03-26,1.092,1.099,1.103,1.091,801779.0,515290,sh,银行ETF天弘
2021-03-29,1.095,1.107,1.107,1.094,711241.0,515290,sh,银行ETF天弘
2021-03-30,1.106,1.112,1.113,1.1,676833.0,515290,sh,银行ETF天弘
2021-03-31,1.112,1.116,1.12,1.101,842721.0,515290,sh,银行ETF天弘
2021-04-01,1.115,1.114,1.119,1.108,792895.0,515290,sh,银行ETF天弘
2021-04-02,1.113,1.101,1.115,1.097,727426.0,515290,sh,银行ETF天弘
2021-04-06,1.101,1.104,1.108,1.099,994344.0,515290,sh,银行ETF天弘
2021-04-07,1.104,1.099,1.104,1.094,628060.0,515290,sh,银行ETF天弘
2021-04-08,1.099,1.097,1.1,1.094,677036.0,515290,sh,银行ETF天弘
2021-04-09,1.097,1.091,1.099,1.09,925499.0,515290,sh,银行ETF天弘
2021-04-12,1.092,1.089,1.094,1.084,1575660.0,515290,sh,银行ETF天弘
2021-04-13,1.088,1.083,1.098,1.08,1007795.0,515290,sh,银行ETF天弘
2021-04-14,1.082,1.072,1.086,1.069,830985.0,515290,sh,银行ETF天弘
2021-04-15,1.07,1.061,1.07,1.051,1281726.0,515290,sh,银行ETF天弘
2021-04-16,1.061,1.062,1.065,1.055,1295876.0,515290,sh,银行ETF天弘
2021-04-19,1.062,1.079,1.08,1.055,869186.0,515290,sh,银行ETF天弘
2021-04-20,1.076,1.081,1.088,1.074,638659.0,515290,sh,银行ETF天弘
2021-04-21,1.082,1.101,1.104,1.079,936196.0,515290,sh,银行ETF天弘
2021-04-22,1.103,1.092,1.104,1.086,866691.0,515290,sh,银行ETF天弘
2021-04-23,1.091,1.095,1.1,1.087,793617.0,515290,sh,银行ETF天弘
2021-04-26,1.096,1.086,1.108,1.084,940072.0,515290,sh,银行ETF天弘
2021-04-27,1.085,1.087,1.089,1.081,599602.0,515290,sh,银行ETF天弘
2021-04-28,1.088,1.085,1.089,1.077,770581.0,515290,sh,银行ETF天弘
2021-04-29,1.088,1.104,1.105,1.085,717467.0,515290,sh,银行ETF天弘
2021-04-30,1.106,1.087,1.106,1.079,711644.0,515290,sh,银行ETF天弘
2021-05-06,1.087,1.098,1.105,1.085,690997.0,515290,sh,银行ETF天弘
2021-05-07,1.098,1.108,1.119,1.096,685594.0,515290,sh,银行ETF天弘
2021-05-10,1.108,1.104,1.108,1.09,636700.0,515290,sh,银行ETF天弘
2021-05-11,1.104,1.105,1.107,1.096,671801.0,515290,sh,银行ETF天弘
2021-05-12,1.104,1.11,1.12,1.102,620881.0,515290,sh,银行ETF天弘
2021-05-13,1.108,1.105,1.115,1.101,779520.0,515290,sh,银行ETF天弘
2021-05-14,1.108,1.121,1.121,1.098,657065.0,515290,sh,银行ETF天弘
2021-05-17,1.116,1.121,1.133,1.113,768004.0,515290,sh,银行ETF天弘
2021-05-18,1.121,1.121,1.125,1.115,763441.0,515290,sh,银行ETF天弘
2021-05-19,1.118,1.104,1.118,1.099,1213146.0,515290,sh,银行ETF天弘
2021-05-20,1.1,1.115,1.116,1.096,943330.0,515290,sh,银行ETF天弘
2021-05-21,1.113,1.103,1.117,1.098,652955.0,515290,sh,银行ETF天弘
2021-05-24,1.103,1.101,1.109,1.098,1053450.0,515290,sh,银行ETF天弘
2021-05-25,1.099,1.139,1.142,1.099,1876798.0,515290,sh,银行ETF天弘
2021-05-26,1.139,1.149,1.155,1.13,1675060.0,515290,sh,银行ETF天弘
2021-05-27,1.143,1.142,1.15,1.133,1880675.0,515290,sh,银行ETF天弘
2021-05-28,1.14,1.143,1.148,1.136,977223.0,515290,sh,银行ETF天弘
2021-05-31,1.141,1.139,1.146,1.13,1028142.0,515290,sh,银行ETF天弘
2021-06-01,1.133,1.128,1.133,1.123,715057.0,515290,sh,银行ETF天弘
2021-06-02,1.128,1.132,1.133,1.119,940071.0,515290,sh,银行ETF天弘
2021-06-03,1.128,1.124,1.139,1.122,737696.0,515290,sh,银行ETF天弘
2021-06-04,1.121,1.136,1.147,1.121,990672.0,515290,sh,银行ETF天弘
2021-06-07,1.136,1.129,1.136,1.123,891676.0,515290,sh,银行ETF天弘
2021-06-08,1.127,1.129,1.136,1.119,1014847.0,515290,sh,银行ETF天弘
2021-06-09,1.124,1.125,1.131,1.123,686096.0,515290,sh,银行ETF天弘
2021-06-10,1.124,1.123,1.137,1.122,1392576.0,515290,sh,银行ETF天弘
2021-06-11,1.125,1.107,1.125,1.104,842495.0,515290,sh,银行ETF天弘
2021-06-15,1.107,1.095,1.108,1.09,889396.0,515290,sh,银行ETF天弘
2021-06-16,1.096,1.098,1.107,1.091,1783581.0,515290,sh,银行ETF天弘
2021-06-17,1.099,1.095,1.105,1.092,1046346.0,515290,sh,银行ETF天弘
2021-06-18,1.095,1.086,1.095,1.082,813864.0,515290,sh,银行ETF天弘
2021-06-21,1.086,1.073,1.086,1.071,1591820.0,515290,sh,银行ETF天弘
2021-06-22,1.074,1.087,1.088,1.074,853601.0,515290,sh,银行ETF天弘
2021-06-23,1.083,1.085,1.09,1.081,883927.0,515290,sh,银行ETF天弘
2021-06-24,1.085,1.089,1.09,1.081,1087593.0,515290,sh,银行ETF天弘
2021-06-25,1.089,1.103,1.105,1.088,946693.0,515290,sh,银行ETF天弘
2021-06-28,1.103,1.084,1.105,1.081,1198651.0,515290,sh,银行ETF天弘
2021-06-29,1.085,1.078,1.087,1.076,731008.0,515290,sh,银行ETF天弘
2021-06-30,1.079,1.089,1.091,1.079,871349.0,515290,sh,银行ETF天弘
2021-07-01,1.089,1.106,1.11,1.087,1394449.0,515290,sh,银行ETF天弘
2021-07-02,1.104,1.083,1.104,1.081,940650.0,515290,sh,银行ETF天弘
2021-07-05,1.083,1.083,1.083,1.067,757395.0,515290,sh,银行ETF天弘
2021-07-06,1.08,1.094,1.096,1.08,711724.0,515290,sh,银行ETF天弘
2021-07-07,1.091,1.092,1.101,1.087,711763.0,515290,sh,银行ETF天弘
2021-07-08,1.095,1.064,1.098,1.061,1348998.0,515290,sh,银行ETF天弘
2021-07-09,1.061,1.054,1.067,1.051,815042.0,515290,sh,银行ETF天弘
2021-07-12,1.059,1.05,1.065,1.045,659569.0,515290,sh,银行ETF天弘
2021-07-13,1.05,1.053,1.06,1.04,916202.0,515290,sh,银行ETF天弘
2021-07-14,1.053,1.035,1.053,1.034,659580.0,515290,sh,银行ETF天弘
2021-07-15,1.038,1.063,1.064,1.035,849927.0,515290,sh,银行ETF天弘
2021-07-16,1.057,1.058,1.067,1.055,502087.0,515290,sh,银行ETF天弘
2021-07-19,1.058,1.058,1.06,1.042,600671.0,515290,sh,银行ETF天弘
2021-07-20,1.054,1.044,1.057,1.043,583022.0,515290,sh,银行ETF天弘
2021-07-21,1.044,1.04,1.05,1.035,599340.0,515290,sh,银行ETF天弘
2021-07-22,1.041,1.046,1.055,1.037,579918.0,515290,sh,银行ETF天弘
2021-07-23,1.048,1.042,1.048,1.037,513360.0,515290,sh,银行ETF天弘
2021-07-26,1.041,1.01,1.041,1.008,849543.0,515290,sh,银行ETF天弘
2021-07-27,1.01,0.984,1.011,0.98,643008.0,515290,sh,银行ETF天弘
2021-07-28,0.984,0.995,0.999,0.979,576854.0,515290,sh,银行ETF天弘
2021-07-29,0.994,0.988,1.0,0.987,542771.0,515290,sh,银行ETF天弘
2021-07-30,0.987,0.974,0.987,0.968,551434.0,515290,sh,银行ETF天弘
2021-08-02,0.969,0.986,0.991,0.959,550449.0,515290,sh,银行ETF天弘
2021-08-03,0.978,0.981,0.985,0.974,478919.0,515290,sh,银行ETF天弘
2021-08-04,0.982,0.975,0.984,0.972,542987.0,515290,sh,银行ETF天弘
2021-08-05,0.974,0.972,0.979,0.968,435169.0,515290,sh,银行ETF天弘
2021-08-06,0.973,0.974,0.975,0.962,381651.0,515290,sh,银行ETF天弘
2021-08-09,0.972,1.0,1.007,0.971,709499.0,515290,sh,银行ETF天弘
2021-08-10,0.997,1.019,1.021,0.994,630020.0,515290,sh,银行ETF天弘
2021-08-11,1.02,1.029,1.04,1.018,499229.0,515290,sh,银行ETF天弘
2021-08-12,1.023,1.022,1.032,1.021,453565.0,515290,sh,银行ETF天弘
2021-08-13,1.026,1.024,1.026,1.017,523107.0,515290,sh,银行ETF天弘
2021-08-16,1.027,1.022,1.031,1.017,471688.0,515290,sh,银行ETF天弘
2021-08-17,1.024,1.014,1.031,1.013,297854.0,515290,sh,银行ETF天弘
2021-08-18,1.016,1.045,1.053,1.013,560339.0,515290,sh,银行ETF天弘
2021-08-19,1.044,1.026,1.045,1.024,568731.0,515290,sh,银行ETF天弘
2021-08-20,1.024,1.018,1.031,1.004,607444.0,515290,sh,银行ETF天弘
2021-08-23,1.013,1.02,1.028,1.013,482219.0,515290,sh,银行ETF天弘
2021-08-24,1.016,1.024,1.031,1.016,595912.0,515290,sh,银行ETF天弘
2021-08-25,1.024,1.015,1.026,1.012,531484.0,515290,sh,银行ETF天弘
2021-08-26,1.018,1.001,1.018,0.999,604748.0,515290,sh,银行ETF天弘
2021-08-27,1.0,1.0,1.009,0.998,603756.0,515290,sh,银行ETF天弘
2021-08-30,1.0,0.984,1.001,0.981,733837.0,515290,sh,银行ETF天弘
2021-08-31,0.985,1.0,1.0,0.983,685051.0,515290,sh,银行ETF天弘
2021-09-01,1.0,1.022,1.024,0.994,470175.0,515290,sh,银行ETF天弘
2021-09-02,1.025,1.03,1.032,1.022,604403.0,515290,sh,银行ETF天弘
2021-09-03,1.032,1.031,1.042,1.018,597921.0,515290,sh,银行ETF天弘
2021-09-06,1.036,1.034,1.04,1.027,909513.0,515290,sh,银行ETF天弘
2021-09-07,1.037,1.049,1.053,1.026,594153.0,515290,sh,银行ETF天弘
2021-09-08,1.049,1.047,1.059,1.046,676447.0,515290,sh,银行ETF天弘
2021-09-09,1.048,1.044,1.049,1.038,583354.0,515290,sh,银行ETF天弘
2021-09-10,1.046,1.068,1.078,1.044,651862.0,515290,sh,银行ETF天弘
2021-09-13,1.068,1.067,1.07,1.059,641745.0,515290,sh,银行ETF天弘
2021-09-14,1.066,1.039,1.071,1.037,732176.0,515290,sh,银行ETF天弘
2021-09-15,1.039,1.029,1.041,1.025,578696.0,515290,sh,银行ETF天弘
2021-09-16,1.03,1.019,1.035,1.019,952207.0,515290,sh,银行ETF天弘
2021-09-17,1.019,1.02,1.025,1.016,805460.0,515290,sh,银行ETF天弘
2021-09-22,1.006,1.0,1.006,0.99,1105318.0,515290,sh,银行ETF天弘
2021-09-23,1.001,1.0,1.015,0.998,991120.0,515290,sh,银行ETF天弘
2021-09-24,1.001,0.992,1.003,0.991,1124429.0,515290,sh,银行ETF天弘
2021-09-27,0.994,0.995,0.997,0.984,1203038.0,515290,sh,银行ETF天弘
2021-09-28,0.996,1.01,1.012,0.993,678797.0,515290,sh,银行ETF天弘
2021-09-29,1.005,1.021,1.025,1.0,746647.0,515290,sh,银行ETF天弘
2021-09-30,1.02,1.008,1.02,1.003,652244.0,515290,sh,银行ETF天弘
2021-10-08,1.01,1.022,1.025,1.01,499557.0,515290,sh,银行ETF天弘
2021-10-11,1.026,1.044,1.054,1.026,829093.0,515290,sh,银行ETF天弘
2021-10-12,1.042,1.046,1.054,1.038,628436.0,515290,sh,银行ETF天弘
