date,open,close,high,low,volume,code,market,name
2021-12-10,0.99,1.003,1.003,0.99,1613822.0,159731,sz,石化ETF
2021-12-13,0.995,1.018,1.031,0.995,372947.0,159731,sz,石化ETF
2021-12-14,1.017,1.012,1.019,1.01,75683.0,159731,sz,石化ETF
2021-12-15,1.003,1.002,1.015,1.001,42705.0,159731,sz,石化ETF
2021-12-16,1.008,1.011,1.011,1.004,65066.0,159731,sz,石化ETF
2021-12-17,1.011,0.999,1.014,0.999,42029.0,159731,sz,石化ETF
2021-12-20,0.988,0.976,0.998,0.976,43712.0,159731,sz,石化ETF
2021-12-21,0.978,0.979,0.981,0.971,3389.0,159731,sz,石化ETF
2021-12-22,0.976,0.987,0.988,0.976,67782.0,159731,sz,石化ETF
2021-12-23,0.984,0.982,0.984,0.977,6936.0,159731,sz,石化ETF
2021-12-24,0.982,0.969,0.982,0.963,22040.0,159731,sz,石化ETF
2021-12-27,0.965,0.971,0.974,0.965,7959.0,159731,sz,石化ETF
2021-12-28,0.971,0.986,0.986,0.971,1184.0,159731,sz,石化ETF
2021-12-29,0.98,0.987,0.992,0.977,12222.0,159731,sz,石化ETF
2021-12-30,0.985,0.986,0.988,0.984,1334.0,159731,sz,石化ETF
2021-12-31,0.987,0.983,0.987,0.981,9553.0,159731,sz,石化ETF
2022-01-04,0.984,0.979,0.984,0.972,15164.0,159731,sz,石化ETF
2022-01-05,0.973,0.962,0.977,0.96,11661.0,159731,sz,石化ETF
2022-01-06,0.962,0.968,0.969,0.959,22300.0,159731,sz,石化ETF
2022-01-07,0.968,0.966,0.971,0.965,24145.0,159731,sz,石化ETF
2022-01-10,0.971,0.966,0.972,0.964,37334.0,159731,sz,石化ETF
2022-01-11,0.974,0.963,0.976,0.962,46506.0,159731,sz,石化ETF
2022-01-12,0.966,0.981,0.981,0.966,43609.0,159731,sz,石化ETF
2022-01-13,0.985,0.971,0.985,0.971,10952.0,159731,sz,石化ETF
2022-01-14,0.962,0.963,0.969,0.959,10039.0,159731,sz,石化ETF
2022-01-17,0.969,0.973,0.974,0.967,6772.0,159731,sz,石化ETF
2022-01-18,0.974,0.975,0.978,0.967,9782.0,159731,sz,石化ETF
2022-01-19,0.979,0.963,0.979,0.957,11991.0,159731,sz,石化ETF
2022-01-20,0.964,0.959,0.969,0.956,8404.0,159731,sz,石化ETF
2022-01-21,0.956,0.944,0.996,0.943,11912.0,159731,sz,石化ETF
2022-01-24,0.937,0.952,0.952,0.935,10857.0,159731,sz,石化ETF
2022-01-25,0.957,0.931,0.957,0.931,6547.0,159731,sz,石化ETF
2022-01-26,0.94,0.938,0.94,0.932,4451.0,159731,sz,石化ETF
2022-01-27,0.938,0.926,0.939,0.926,10631.0,159731,sz,石化ETF
2022-01-28,0.932,0.917,0.933,0.912,24534.0,159731,sz,石化ETF
2022-02-07,0.917,0.939,0.943,0.917,32845.0,159731,sz,石化ETF
2022-02-08,0.94,0.937,0.94,0.922,35445.0,159731,sz,石化ETF
2022-02-09,0.938,0.946,0.947,0.935,48609.0,159731,sz,石化ETF
2022-02-10,0.941,0.945,0.95,0.941,39985.0,159731,sz,石化ETF
2022-02-11,0.948,0.946,0.96,0.944,57580.0,159731,sz,石化ETF
2022-02-14,0.945,0.943,0.959,0.942,49352.0,159731,sz,石化ETF
2022-02-15,0.943,0.952,0.952,0.94,39536.0,159731,sz,石化ETF
2022-02-16,0.911,0.953,0.958,0.911,29480.0,159731,sz,石化ETF
2022-02-17,0.95,0.961,0.966,0.947,47033.0,159731,sz,石化ETF
2022-02-18,0.959,0.964,0.964,0.956,20640.0,159731,sz,石化ETF
2022-02-21,0.969,0.964,0.969,0.958,25813.0,159731,sz,石化ETF
2022-02-22,0.983,0.961,0.983,0.924,27849.0,159731,sz,石化ETF
2022-02-23,0.964,0.972,0.973,0.962,10220.0,159731,sz,石化ETF
