date,open,close,high,low,volume,code,market,name
2020-01-02,86.435,86.785,86.785,86.435,35.0,511270,sh,10年地方债ETF海富通
2020-01-03,86.785,86.785,86.885,86.785,46.0,511270,sh,10年地方债ETF海富通
2020-01-06,86.785,86.883,86.885,86.595,9.0,511270,sh,10年地方债ETF海富通
2020-01-08,86.885,86.685,87.085,86.685,5.0,511270,sh,10年地方债ETF海富通
2020-01-09,86.685,86.785,86.785,86.685,6.0,511270,sh,10年地方债ETF海富通
2020-01-10,86.735,86.735,86.835,86.735,78.0,511270,sh,10年地方债ETF海富通
2020-01-13,86.735,86.735,86.735,86.735,0.0,511270,sh,10年地方债ETF海富通
2020-01-14,86.685,86.536,86.809,86.536,4.0,511270,sh,10年地方债ETF海富通
2020-01-15,86.535,86.535,86.535,86.535,32.0,511270,sh,10年地方债ETF海富通
2020-01-16,86.335,86.335,86.335,86.335,0.0,511270,sh,10年地方债ETF海富通
2020-01-17,86.575,86.635,86.635,86.575,16.0,511270,sh,10年地方债ETF海富通
2020-01-20,86.485,86.426,86.585,86.404,102.0,511270,sh,10年地方债ETF海富通
2020-01-21,86.585,86.635,86.635,86.585,60.0,511270,sh,10年地方债ETF海富通
2020-01-22,86.635,86.835,86.835,86.635,1.0,511270,sh,10年地方债ETF海富通
2020-01-23,86.845,87.855,87.855,86.845,183.0,511270,sh,10年地方债ETF海富通
2020-02-03,88.385,89.695,89.985,88.385,394.0,511270,sh,10年地方债ETF海富通
2020-02-04,89.975,89.695,89.975,89.695,15.0,511270,sh,10年地方债ETF海富通
2020-02-05,89.335,89.585,89.585,89.335,105.0,511270,sh,10年地方债ETF海富通
2020-02-06,89.285,89.285,89.435,89.235,3975.0,511270,sh,10年地方债ETF海富通
2020-02-07,89.485,89.485,89.485,89.284,14098.0,511270,sh,10年地方债ETF海富通
2020-02-10,89.465,89.584,89.585,89.465,41.0,511270,sh,10年地方债ETF海富通
2020-02-11,89.451,89.565,89.565,89.451,35.0,511270,sh,10年地方债ETF海富通
2020-02-12,89.382,89.452,89.452,89.382,61.0,511270,sh,10年地方债ETF海富通
2020-02-13,89.385,89.345,89.385,89.345,29.0,511270,sh,10年地方债ETF海富通
2020-02-14,89.386,89.535,89.535,89.385,54.0,511270,sh,10年地方债ETF海富通
2020-02-17,89.535,89.535,89.535,89.535,19.0,511270,sh,10年地方债ETF海富通
2020-02-18,89.535,89.735,89.735,89.535,3608.0,511270,sh,10年地方债ETF海富通
2020-02-19,89.755,89.755,89.755,89.755,107.0,511270,sh,10年地方债ETF海富通
2020-02-20,90.035,89.774,90.035,89.755,217.0,511270,sh,10年地方债ETF海富通
2020-02-21,89.775,89.785,89.785,89.775,274.0,511270,sh,10年地方债ETF海富通
2020-02-24,89.765,89.785,89.785,89.765,105.0,511270,sh,10年地方债ETF海富通
2020-02-25,89.785,89.775,90.185,89.775,191.0,511270,sh,10年地方债ETF海富通
2020-02-26,89.735,89.795,89.795,89.735,327.0,511270,sh,10年地方债ETF海富通
2020-02-27,89.79,89.795,89.795,89.785,2200.0,511270,sh,10年地方债ETF海富通
2020-02-28,89.79,90.135,90.135,89.79,4268.0,511270,sh,10年地方债ETF海富通
2020-03-02,90.155,90.065,90.165,90.035,4375.0,511270,sh,10年地方债ETF海富通
2020-03-03,89.885,90.035,90.035,89.885,4064.0,511270,sh,10年地方债ETF海富通
2020-03-04,90.175,90.472,90.485,90.175,4034.0,511270,sh,10年地方债ETF海富通
2020-03-05,90.885,90.395,90.885,90.365,4114.0,511270,sh,10年地方债ETF海富通
2020-03-06,90.395,90.605,90.615,90.393,7254.0,511270,sh,10年地方债ETF海富通
2020-03-09,90.973,91.09,91.115,90.973,4819.0,511270,sh,10年地方债ETF海富通
2020-03-10,91.085,90.69,91.085,90.686,4968.0,511270,sh,10年地方债ETF海富通
2020-03-11,90.88,90.805,90.88,90.765,4309.0,511270,sh,10年地方债ETF海富通
2020-03-12,90.985,91.039,91.039,90.925,4505.0,511270,sh,10年地方债ETF海富通
2020-03-13,90.935,90.855,91.035,90.835,4497.0,511270,sh,10年地方债ETF海富通
2020-03-16,90.855,90.816,90.985,90.785,4953.0,511270,sh,10年地方债ETF海富通
2020-03-17,90.885,90.635,90.885,90.595,5917.0,511270,sh,10年地方债ETF海富通
2020-03-18,90.585,90.765,90.885,90.585,4517.0,511270,sh,10年地方债ETF海富通
2020-03-19,90.735,90.635,90.785,90.635,4263.0,511270,sh,10年地方债ETF海富通
2020-03-20,90.635,90.725,90.725,90.635,4135.0,511270,sh,10年地方债ETF海富通
2020-03-23,91.015,91.184,91.185,91.015,4636.0,511270,sh,10年地方债ETF海富通
2020-03-24,91.185,91.065,91.185,90.985,5158.0,511270,sh,10年地方债ETF海富通
2020-03-25,91.035,90.996,91.035,90.98,8179.0,511270,sh,10年地方债ETF海富通
2020-03-26,90.996,91.325,91.574,90.996,5770.0,511270,sh,10年地方债ETF海富通
2020-03-27,91.289,91.235,91.335,91.185,4502.0,511270,sh,10年地方债ETF海富通
2020-03-30,91.285,91.235,91.285,91.185,6472.0,511270,sh,10年地方债ETF海富通
2020-03-31,91.135,91.295,91.295,91.135,7091.0,511270,sh,10年地方债ETF海富通
2020-04-01,91.285,91.305,91.335,91.285,7010.0,511270,sh,10年地方债ETF海富通
2020-04-02,91.285,91.28,91.335,91.255,8241.0,511270,sh,10年地方债ETF海富通
2020-04-03,91.188,91.177,91.25,91.155,7999.0,511270,sh,10年地方债ETF海富通
2020-04-07,91.273,91.885,91.985,91.273,6626.0,511270,sh,10年地方债ETF海富通
2020-04-08,91.985,92.18,92.185,91.985,5900.0,511270,sh,10年地方债ETF海富通
2020-04-09,92.385,92.335,92.485,92.248,4427.0,511270,sh,10年地方债ETF海富通
2020-04-10,92.385,92.365,92.565,92.315,4515.0,511270,sh,10年地方债ETF海富通
2020-04-13,92.286,92.285,92.385,92.255,4549.0,511270,sh,10年地方债ETF海富通
2020-04-14,92.235,92.284,92.381,92.235,5476.0,511270,sh,10年地方债ETF海富通
2020-04-15,92.385,92.385,92.386,92.205,5710.0,511270,sh,10年地方债ETF海富通
2020-04-16,92.435,92.49,92.495,92.435,5127.0,511270,sh,10年地方债ETF海富通
2020-04-17,92.44,92.374,92.535,92.285,8334.0,511270,sh,10年地方债ETF海富通
2020-04-20,92.285,92.325,92.385,92.09,4669.0,511270,sh,10年地方债ETF海富通
2020-04-21,92.336,92.435,92.435,92.335,4176.0,511270,sh,10年地方债ETF海富通
2020-04-22,92.436,92.585,92.585,92.436,4231.0,511270,sh,10年地方债ETF海富通
2020-04-23,92.504,92.995,93.005,92.504,4858.0,511270,sh,10年地方债ETF海富通
2020-04-24,93.085,93.025,93.085,92.955,4354.0,511270,sh,10年地方债ETF海富通
2020-04-27,93.085,93.075,93.245,93.025,4432.0,511270,sh,10年地方债ETF海富通
2020-04-28,93.035,93.065,93.085,92.945,4213.0,511270,sh,10年地方债ETF海富通
2020-04-29,93.118,93.19,93.194,93.075,4369.0,511270,sh,10年地方债ETF海富通
