date,open,close,high,low,volume,code,market,name
2020-01-02,2.1,2.179,2.18,2.07,10395.0,159913,sz,深价值
2020-01-03,2.179,2.195,2.2,2.082,23971.0,159913,sz,深价值
2020-01-06,2.1,2.178,2.195,2.1,47207.0,159913,sz,深价值
2020-01-07,2.122,2.12,2.17,2.11,64263.0,159913,sz,深价值
2020-01-08,2.103,2.118,2.132,2.072,45005.0,159913,sz,深价值
2020-01-09,2.12,2.149,2.189,2.12,68405.0,159913,sz,深价值
2020-01-10,2.126,2.145,2.149,2.126,351.0,159913,sz,深价值
2020-01-13,2.139,2.167,2.167,2.116,7354.0,159913,sz,深价值
2020-01-14,2.159,2.146,2.16,2.146,5419.0,159913,sz,深价值
2020-01-15,2.131,2.14,2.14,2.123,160.0,159913,sz,深价值
2020-01-16,2.129,2.114,2.129,2.111,149.0,159913,sz,深价值
2020-01-17,2.13,2.127,2.133,2.115,165.0,159913,sz,深价值
2020-01-20,2.112,2.124,2.125,2.07,390.0,159913,sz,深价值
2020-01-21,2.1,2.079,2.115,2.072,422.0,159913,sz,深价值
2020-01-22,2.06,2.11,2.11,2.003,1380.0,159913,sz,深价值
2020-01-23,2.05,2.01,2.099,2.0,444.0,159913,sz,深价值
2020-02-03,1.813,1.809,2.008,1.809,1248.0,159913,sz,深价值
2020-02-04,1.859,1.879,1.88,1.856,2837.0,159913,sz,深价值
2020-02-05,1.879,1.904,1.92,1.871,21011.0,159913,sz,深价值
2020-02-06,1.871,1.907,1.949,1.871,71145.0,159913,sz,深价值
2020-02-07,1.9,1.907,1.91,1.884,1616.0,159913,sz,深价值
2020-02-10,1.907,1.98,1.986,1.902,50505.0,159913,sz,深价值
2020-02-11,1.98,1.967,2.035,1.932,30198.0,159913,sz,深价值
2020-02-12,2.015,1.972,2.015,1.967,21028.0,159913,sz,深价值
2020-02-13,1.968,1.983,1.985,1.968,50738.0,159913,sz,深价值
2020-02-14,1.98,1.991,1.992,1.931,31254.0,159913,sz,深价值
2020-02-17,1.944,2.006,2.021,1.944,41444.0,159913,sz,深价值
2020-02-18,2.007,2.021,2.029,2.007,490.0,159913,sz,深价值
2020-02-19,1.997,2.015,2.069,1.996,20994.0,159913,sz,深价值
2020-02-20,2.04,2.055,2.055,2.02,2168.0,159913,sz,深价值
2020-02-21,2.015,2.071,2.114,2.015,2203.0,159913,sz,深价值
2020-02-24,2.029,2.062,2.095,2.029,1786.0,159913,sz,深价值
2020-02-25,2.02,2.08,2.08,2.02,3641.0,159913,sz,深价值
2020-02-26,2.095,2.041,2.095,2.03,974.0,159913,sz,深价值
2020-02-27,2.014,2.078,2.085,2.014,1118.0,159913,sz,深价值
2020-02-28,2.016,2.031,2.078,2.011,2717.0,159913,sz,深价值
2020-03-02,2.018,2.074,2.075,2.018,1335.0,159913,sz,深价值
2020-03-03,2.134,2.127,2.135,2.051,78.0,159913,sz,深价值
2020-03-04,2.155,2.056,2.155,2.025,647.0,159913,sz,深价值
2020-03-05,2.095,2.107,2.116,2.066,970.0,159913,sz,深价值
2020-03-06,2.073,2.1,2.1,2.065,5428.0,159913,sz,深价值
2020-03-09,2.051,2.043,2.051,2.02,609.0,159913,sz,深价值
2020-03-10,2.079,2.043,2.079,1.966,735.0,159913,sz,深价值
2020-03-11,2.03,2.011,2.07,2.011,703.0,159913,sz,深价值
2020-03-12,2.006,1.964,2.006,1.921,894.0,159913,sz,深价值
2020-03-13,1.93,2.0,2.0,1.856,6913.0,159913,sz,深价值
2020-03-16,1.99,1.907,1.99,1.884,1086.0,159913,sz,深价值
2020-03-17,1.908,1.881,1.908,1.812,1728.0,159913,sz,深价值
2020-03-18,1.881,1.898,1.901,1.8,1540.0,159913,sz,深价值
2020-03-19,1.81,1.879,1.88,1.712,1698.0,159913,sz,深价值
2020-03-20,1.801,1.848,1.875,1.79,1325.0,159913,sz,深价值
2020-03-23,1.827,1.763,1.839,1.756,1543.0,159913,sz,深价值
2020-03-24,1.73,1.757,1.777,1.73,852.0,159913,sz,深价值
2020-03-25,1.789,1.803,1.84,1.781,1525.0,159913,sz,深价值
2020-03-26,1.789,1.811,1.813,1.786,898.0,159913,sz,深价值
2020-03-27,1.82,1.817,1.84,1.802,902.0,159913,sz,深价值
2020-03-30,1.8,1.806,1.811,1.736,989.0,159913,sz,深价值
2020-03-31,1.768,1.776,1.8,1.763,672.0,159913,sz,深价值
2020-04-01,1.794,1.772,1.794,1.772,44.0,159913,sz,深价值
2020-04-02,1.772,1.794,1.794,1.76,241.0,159913,sz,深价值
2020-04-03,1.781,1.804,1.804,1.781,310.0,159913,sz,深价值
2020-04-07,1.842,1.816,1.842,1.806,681.0,159913,sz,深价值
2020-04-08,1.797,1.835,1.835,1.797,718.0,159913,sz,深价值
2020-04-09,1.841,1.82,1.841,1.813,325.0,159913,sz,深价值
2020-04-10,1.825,1.815,1.825,1.815,146.0,159913,sz,深价值
2020-04-13,1.798,1.827,1.84,1.798,112.0,159913,sz,深价值
2020-04-14,1.834,1.834,1.834,1.834,92.0,159913,sz,深价值
2020-04-15,1.845,1.839,1.849,1.817,122.0,159913,sz,深价值
2020-04-16,1.832,1.83,1.837,1.83,88.0,159913,sz,深价值
2020-04-17,1.821,1.842,1.842,1.821,157.0,159913,sz,深价值
2020-04-20,1.842,1.842,1.859,1.842,120.0,159913,sz,深价值
2020-04-21,1.8,1.855,1.855,1.8,277.0,159913,sz,深价值
2020-04-22,1.815,1.848,1.848,1.812,117.0,159913,sz,深价值
2020-04-23,1.83,1.85,1.853,1.83,95.0,159913,sz,深价值
2020-04-24,1.834,1.832,1.857,1.818,213.0,159913,sz,深价值
2020-04-27,1.83,1.83,1.832,1.83,106.0,159913,sz,深价值
2020-04-28,1.803,1.852,1.852,1.797,347.0,159913,sz,深价值
2020-04-29,1.819,1.842,1.843,1.819,120.0,159913,sz,深价值
2020-04-30,1.849,1.862,1.862,1.843,1058.0,159913,sz,深价值
2020-05-06,1.849,1.866,1.866,1.849,105.0,159913,sz,深价值
